Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
20 May,0.0,0.0,0.0,0.0,28.3,31.1,26.3,5.8,32.4
21 May,1.0,1.0,1.0,1.0,28.1,31.8,26.5,6.8,35.6
22 May,1.0,0.6,1.0,1.0,27.9,32.2,26.2,5.8,52.9
23 May,0.0,0.0,0.0,0.0,28.8,32.2,25.8,8.6,44.3
24 May,0.0,0.0,0.0,0.0,29.8,34.7,28.0,7.9,30.6
25 May,0.0,0.0,0.0,0.0,29.0,32.4,27.6,8.3,41.8
26 May,0.0,0.0,0.0,0.0,29.3,33.6,27.6,8.3,35.3
27 May,7.0,6.8,6.8,6.8,28.9,32.8,25.6,10.4,47.5
28 May,0.2,0.2,0.2,0.2,29.1,31.8,27.8,11.5,42.1
29 May,0.0,0.0,0.0,0.0,29.2,33.5,27.8,7.6,28.8
30 May,29.4,15.6,20.8,21.6,27.7,32.0,24.5,6.1,40.3
31 May,1.6,1.6,1.6,1.6,28.5,33.1,26.2,6.8,35.3
1 Apr,50.6,17.8,18.6,22.4,26.3,29.6,23.6,4.7,38.5
2 Apr,0.2,0.2,0.2,0.2,27.9,31.6,26.1,5.0,25.6
3 Apr,27.0,13.8,22.0,24.0,26.9,31.9,21.9,4.7,59.8
4 Apr,41.8,20.2,34.6,41.8,28.1,34.7,24.6,6.1,30.6
5 Apr,4.6,4.6,4.6,4.6,28.1,33.8,25.0,5.4,38.2
6 Apr,0.0,0.0,0.0,0.0,28.1,32.7,25.6,8.3,36.4
7 Apr,0.0,0.0,0.0,0.0,28.7,32.6,26.2,7.6,32.0
8 Apr,0.0,0.0,0.0,0.0,28.9,33.7,26.4,6.5,31.3
9 Apr,9.2,8.2,9.2,9.2,28.8,33.8,26.3,5.0,28.4
10 Apr,1.4,0.8,1.2,1.2,28.3,33.5,26.5,4.0,30.2
11 Apr,4.2,2.4,3.8,4.0,27.6,30.7,25.9,4.3,22.0
12 Apr,0.0,0.0,0.0,0.0,28.8,32.9,25.9,4.7,30.6
13 Apr,0.0,0.0,0.0,0.0,29.0,33.7,26.4,7.6,32.4
14 Apr,0.0,0.0,0.0,0.0,28.5,32.3,26.9,8.3,35.3
15 Apr,0.0,0.0,0.0,0.0,29.4,34.3,26.5,6.5,37.1
16 Apr,0.0,0.0,0.0,0.0,29.8,33.8,27.7,9.0,29.2
17 Apr,0.0,0.0,0.0,0.0,29.7,33.0,27.1,8.6,35.3
18 Apr,0.0,0.0,0.0,0.0,29.6,32.8,27.6,7.2,33.5
19 Apr,0.0,0.0,0.0,0.0,29.5,35.7,26.7,5.4,33.5
20 Apr,25.2,12.4,16.4,20.8,27.8,30.1,25.3,5.4,30.6
21 Apr,0.0,0.0,0.0,0.0,29.1,34.9,27.1,7.9,34.9
22 Apr,0.0,0.0,0.0,0.0,28.5,32.7,26.6,6.1,38.2
23 Apr,27.8,16.0,20.0,22.4,27.6,33.3,24.4,4.0,32.8
24 Apr,21.8,16.6,21.8,21.8,27.9,31.2,25.9,4.3,20.2
25 Apr,0.0,0.0,0.0,0.0,28.3,31.9,26.4,5.0,30.2
26 Apr,36.6,12.8,23.8,28.4,25.9,28.3,23.3,4.3,33.5
27 Apr,14.2,6.8,8.6,9.8,27.1,31.4,24.3,5.0,26.3
28 Apr,0.6,0.6,0.6,0.6,28.6,34.0,24.7,6.5,55.1
29 Apr,1.2,1.2,1.2,1.2,28.9,33.7,25.6,7.9,40.7
30 Apr,0.4,0.4,0.4,0.4,28.2,32.7,26.4,4.0,28.4
1 Mar,0.0,0.0,0.0,0.0,28.0,32.4,26.0,7.2,37.8
2 Mar,0.0,0.0,0.0,0.0,28.1,33.8,25.7,7.2,32.4
3 Mar,0.0,0.0,0.0,0.0,27.8,33.3,25.0,6.8,34.9
4 Mar,0.2,0.2,0.2,0.2,27.8,34.3,24.9,6.1,29.2
5 Mar,0.0,0.0,0.0,0.0,28.5,33.3,25.4,6.1,27.0
6 Mar,0.0,0.0,0.0,0.0,28.3,33.1,26.7,6.1,29.2
7 Mar,0.0,0.0,0.0,0.0,28.8,33.1,26.9,7.2,40.3
8 Mar,0.0,0.0,0.0,0.0,28.7,32.5,26.6,7.9,33.5
9 Mar,0.0,0.0,0.0,0.0,28.8,33.4,26.5,8.3,35.3
10 Mar,0.0,0.0,0.0,0.0,28.4,32.6,26.6,9.4,39.2
11 Mar,16.4,11.8,16.0,16.2,27.0,33.2,22.0,5.8,37.4
12 Mar,2.4,2.0,2.2,2.4,28.4,33.6,24.3,6.1,30.6
13 Mar,0.0,0.0,0.0,0.0,29.0,34.3,26.4,5.8,28.4
14 Mar,0.0,0.0,0.0,0.0,28.7,33.3,26.2,6.1,30.2
15 Mar,0.0,0.0,0.0,0.0,28.4,34.4,25.1,6.1,33.8
16 Mar,0.0,0.0,0.0,0.0,28.2,32.8,24.8,6.5,37.8
17 Mar,0.0,0.0,0.0,0.0,28.6,33.4,25.9,6.8,30.6
18 Mar,0.0,0.0,0.0,0.0,28.7,33.6,25.3,6.5,32.4
19 Mar,0.0,0.0,0.0,0.0,28.5,33.9,26.3,7.6,32.0
20 Mar,0.0,0.0,0.0,0.0,29.0,33.6,26.6,6.5,33.1
21 Mar,39.0,18.8,28.2,34.0,27.5,34.4,23.8,7.2,37.1
22 Mar,0.0,0.0,0.0,0.0,28.4,34.9,25.1,5.8,29.5
23 Mar,5.0,5.0,5.0,5.0,28.7,33.7,26.3,5.8,38.2
24 Mar,0.2,0.2,0.2,0.2,28.7,34.8,25.8,5.0,27.0
25 Mar,6.6,6.0,6.0,6.0,28.4,33.6,24.1,5.8,34.6
26 Mar,0.0,0.0,0.0,0.0,29.1,33.1,27.0,7.9,40.3
27 Mar,0.0,0.0,0.0,0.0,29.5,34.1,26.7,7.2,33.5
28 Mar,0.2,0.2,0.2,0.2,27.9,33.0,24.9,5.8,38.9
29 Mar,0.0,0.0,0.0,0.0,29.0,33.5,25.4,6.5,32.0
30 Mar,0.0,0.0,0.0,0.0,27.6,31.6,24.2,5.0,36.4
31 Mar,0.0,0.0,0.0,0.0,28.4,31.4,26.2,6.1,33.8
1 Feb,0.0,0.0,0.0,0.0,27.8,32.2,25.3,7.9,34.6
2 Feb,0.0,0.0,0.0,0.0,27.8,32.1,25.9,7.2,31.0
3 Feb,0.0,0.0,0.0,0.0,28.0,31.4,25.8,7.2,38.2
4 Feb,0.4,0.4,0.4,0.4,27.9,34.3,25.6,6.1,30.2
5 Feb,0.0,0.0,0.0,0.0,27.7,33.6,24.8,6.1,33.5
6 Feb,0.0,0.0,0.0,0.0,27.8,32.4,24.8,6.8,32.0
7 Feb,1.2,1.2,1.2,1.2,27.6,34.3,25.2,6.1,28.8
8 Feb,0.0,0.0,0.0,0.0,28.0,34.2,25.4,6.8,32.4
9 Feb,0.0,0.0,0.0,0.0,28.4,34.3,25.8,7.6,37.8
10 Feb,0.0,0.0,0.0,0.0,28.2,33.0,25.9,7.6,32.8
11 Feb,0.0,0.0,0.0,0.0,27.6,32.6,24.9,7.9,35.6
12 Feb,0.0,0.0,0.0,0.0,28.5,33.6,25.1,6.5,32.4
13 Feb,0.2,0.2,0.2,0.2,28.1,32.6,26.1,7.9,39.6
14 Feb,0.0,0.0,0.0,0.0,28.1,31.9,26.5,9.0,41.0
15 Feb,0.0,0.0,0.0,0.0,27.6,32.1,25.8,7.2,35.3
16 Feb,0.0,0.0,0.0,0.0,28.0,33.7,25.2,7.2,30.2
17 Feb,6.4,5.0,5.2,5.4,27.0,34.4,24.1,6.1,37.4
18 Feb,5.6,4.6,5.2,5.2,26.6,31.3,22.2,4.7,37.4
19 Feb,5.2,5.0,5.0,5.0,27.6,32.5,25.8,7.2,32.4
20 Feb,0.0,0.0,0.0,0.0,27.9,31.6,25.9,5.8,28.4
21 Feb,0.0,0.0,0.0,0.0,28.1,32.2,25.6,7.9,38.5
22 Feb,0.0,0.0,0.0,0.0,28.5,33.8,25.6,7.2,33.1
23 Feb,0.0,0.0,0.0,0.0,27.9,32.3,25.7,6.8,33.1
24 Feb,0.0,0.0,0.0,0.0,27.7,33.2,25.4,6.5,33.1
25 Feb,0.0,0.0,0.0,0.0,28.3,32.3,25.7,7.9,36.4
26 Feb,0.0,0.0,0.0,0.0,27.9,31.1,26.0,8.6,39.6
27 Feb,0.0,0.0,0.0,0.0,27.7,32.1,26.2,7.9,42.5
28 Feb,0.0,0.0,0.0,0.0,27.9,31.3,25.8,6.5,35.3
1 Jan,0.2,0.2,0.2,0.2,27.9,34.3,24.9,6.1,32.4
2 Jan,0.0,0.0,0.0,0.0,28.2,32.3,25.6,10.1,39.2
3 Jan,0.0,0.0,0.0,0.0,28.3,31.2,26.0,13.0,51.1
4 Jan,0.0,0.0,0.0,0.0,28.6,31.8,25.9,9.7,34.6
5 Jan,0.8,0.8,0.8,0.8,28.0,32.0,26.5,5.8,32.4
6 Jan,0.0,0.0,0.0,0.0,28.3,32.6,26.2,7.2,38.2
7 Jan,0.0,0.0,0.0,0.0,28.4,32.4,26.4,7.9,38.2
8 Jan,8.2,5.4,5.6,5.8,27.6,31.6,26.0,6.1,39.2
9 Jan,0.0,0.0,0.0,0.0,28.0,31.4,26.1,7.2,34.6
10 Jan,0.0,0.0,0.0,0.0,28.3,32.3,26.0,7.9,38.9
11 Jan,0.0,0.0,0.0,0.0,27.9,32.3,25.3,7.2,34.6
12 Jan,43.6,22.8,36.6,43.6,27.8,33.5,23.8,6.1,28.4
13 Jan,8.2,8.0,8.0,8.0,27.6,33.1,25.3,6.5,37.8
14 Jan,0.0,0.0,0.0,0.0,27.7,32.7,25.7,6.8,33.8
15 Jan,0.4,0.4,0.4,0.4,27.8,32.4,24.9,6.1,28.8
16 Jan,0.0,0.0,0.0,0.0,27.9,32.0,24.9,6.8,32.4
17 Jan,12.6,10.2,11.2,11.4,26.3,31.7,24.0,5.8,36.7
18 Jan,49.0,22.8,25.8,27.4,25.2,27.8,22.5,7.2,37.4
19 Jan,0.0,0.0,0.0,0.0,26.9,30.8,24.5,7.2,35.6
20 Jan,0.0,0.0,0.0,0.0,27.7,32.4,25.1,7.9,41.0
21 Jan,4.0,3.2,4.0,4.0,27.4,31.9,25.3,7.2,40.0
22 Jan,0.0,0.0,0.0,0.0,27.2,30.8,25.0,9.0,42.8
23 Jan,0.0,0.0,0.0,0.0,27.6,31.3,25.4,9.4,43.9
24 Jan,0.0,0.0,0.0,0.0,27.2,30.5,25.7,7.9,35.6
25 Jan,0.0,0.0,0.0,0.0,26.9,30.0,25.2,7.6,37.4
26 Jan,0.0,0.0,0.0,0.0,26.9,30.5,25.1,9.0,38.5
27 Jan,0.0,0.0,0.0,0.0,27.3,31.1,25.4,9.0,40.3
28 Jan,0.4,0.4,0.4,0.4,26.3,28.7,24.9,7.2,41.4
29 Jan,0.0,0.0,0.0,0.0,27.4,31.9,25.3,8.3,41.4
30 Jan,0.0,0.0,0.0,0.0,27.6,31.1,25.6,7.6,34.9
31 Jan,0.0,0.0,0.0,0.0,27.3,32.0,25.3,6.5,34.2
1 Dec,21.2,9.2,12.6,13.4,26.5,31.1,24.1,5.8,41.8
2 Dec,7.4,4.8,5.2,5.4,26.3,33.7,24.4,5.8,28.4
3 Dec,11.6,6.2,8.2,9.8,26.2,30.6,24.4,4.3,22.3
4 Dec,0.0,0.0,0.0,0.0,27.8,33.9,24.8,5.4,27.0
5 Dec,16.2,11.4,13.2,13.2,27.0,31.9,24.0,4.7,38.5
6 Dec,10.8,4.8,5.0,8.6,26.4,32.0,24.6,4.0,20.9
7 Dec,2.4,1.4,1.4,1.8,26.8,31.6,24.7,4.3,21.6
8 Dec,6.8,5.4,6.2,6.8,26.9,32.2,23.9,4.7,28.4
9 Dec,0.4,0.2,0.2,0.2,27.9,33.0,25.5,4.0,28.4
10 Dec,3.0,2.2,2.6,2.6,27.2,32.2,25.1,4.0,29.9
11 Dec,13.2,6.0,7.2,9.4,25.9,31.1,23.8,4.7,34.2
12 Dec,37.2,25.8,34.0,36.2,26.0,31.7,23.5,5.0,31.0
13 Dec,0.0,0.0,0.0,0.0,26.0,28.4,24.7,5.4,28.1
14 Dec,0.0,0.0,0.0,0.0,26.6,30.6,24.3,5.4,36.0
15 Dec,56.2,19.0,21.2,29.4,26.3,32.3,22.8,4.7,28.4
16 Dec,18.0,9.0,11.2,14.8,26.4,33.1,23.7,4.3,31.0
17 Dec,0.0,0.0,0.0,0.0,27.1,31.4,24.7,5.8,38.5
18 Dec,0.0,0.0,0.0,0.0,28.0,31.5,25.6,6.5,30.6
19 Dec,7.6,6.4,7.6,7.6,27.9,33.9,25.6,4.3,24.1
20 Dec,0.6,0.4,0.6,0.6,27.7,33.1,25.1,5.8,29.2
21 Dec,3.2,3.2,3.2,3.2,27.6,33.1,25.4,6.5,43.2
22 Dec,0.6,0.6,0.6,0.6,27.7,33.9,25.3,5.8,28.8
23 Dec,0.0,0.0,0.0,0.0,27.9,34.7,25.1,4.3,26.6
24 Dec,0.0,0.0,0.0,0.0,28.4,32.7,25.7,5.4,29.2
25 Dec,0.0,0.0,0.0,0.0,28.5,31.4,26.2,5.8,29.9
26 Dec,9.4,7.2,9.4,9.4,27.7,31.4,22.6,9.7,37.4
27 Dec,0.0,0.0,0.0,0.0,27.1,29.9,25.2,7.6,33.8
28 Dec,0.0,0.0,0.0,0.0,28.7,32.3,26.2,8.3,37.4
29 Dec,0.0,0.0,0.0,0.0,27.6,30.1,25.1,6.1,22.7
30 Dec,1.2,1.2,1.2,1.2,28.2,34.2,25.9,5.8,31.0
31 Dec,32.8,13.4,21.2,31.0,26.6,30.9,23.6,6.5,42.5
1 Nov,2.6,1.4,1.8,2.4,26.2,28.3,24.6,5.0,31.3
2 Nov,0.8,0.6,0.6,0.6,26.8,32.3,25.2,5.8,41.4
3 Nov,1.4,0.8,1.2,1.4,27.0,31.4,24.9,4.3,23.4
4 Nov,30.8,28.6,29.0,29.6,27.0,32.5,23.6,5.0,29.2
5 Nov,0.0,0.0,0.0,0.0,27.1,33.0,25.3,5.0,25.6
6 Nov,1.8,1.0,1.2,1.4,26.9,33.1,23.9,5.8,28.4
7 Nov,22.0,16.0,19.6,22.0,27.7,33.3,23.8,5.0,33.1
8 Nov,20.8,6.8,10.0,16.0,27.9,33.2,23.4,6.1,32.8
9 Nov,17.6,11.4,16.4,17.6,26.6,28.1,24.2,3.2,21.2
10 Nov,2.2,1.0,1.0,2.0,27.2,32.3,24.4,4.3,33.8
11 Nov,62.8,32.8,47.2,62.4,26.3,32.4,22.7,4.3,27.0
12 Nov,22.0,17.4,21.6,22.0,27.2,33.3,24.3,4.7,27.0
13 Nov,0.6,0.4,0.4,0.4,26.8,30.3,24.1,4.3,20.5
14 Nov,70.0,28.6,49.2,67.0,27.2,31.2,23.8,5.0,38.2
15 Nov,7.2,3.4,4.4,5.2,25.9,30.7,23.5,5.8,58.3
16 Nov,0.0,0.0,0.0,0.0,28.1,32.7,24.7,4.7,27.4
17 Nov,18.0,16.6,17.6,18.0,27.2,30.6,22.0,6.1,72.7
18 Nov,4.4,2.0,2.6,3.6,26.3,29.3,23.6,5.0,29.5
19 Nov,10.8,6.0,8.0,10.0,26.7,33.7,24.2,4.7,27.4
20 Nov,1.4,1.2,1.2,1.2,27.7,31.8,24.3,4.7,29.2
21 Nov,22.0,10.0,10.4,10.6,25.9,29.7,22.7,6.8,46.1
22 Nov,1.8,1.0,1.0,1.4,26.8,30.0,23.2,4.0,33.5
23 Nov,13.6,7.0,11.8,13.6,27.4,33.0,24.9,4.3,24.5
24 Nov,0.0,0.0,0.0,0.0,28.3,33.0,24.9,5.0,26.3
25 Nov,20.0,19.8,19.8,20.0,27.7,31.2,24.1,3.6,26.3
26 Nov,13.2,9.4,10.0,12.6,28.2,33.0,22.3,5.0,39.6
27 Nov,34.6,23.8,31.6,32.4,26.4,29.4,22.9,6.1,49.0
28 Nov,0.6,0.4,0.4,0.4,27.8,32.8,25.5,4.3,27.4
29 Nov,7.0,6.8,6.8,7.0,27.5,31.5,25.8,4.3,35.6
30 Nov,3.0,0.6,1.0,1.6,27.2,31.0,25.1,5.0,24.1
1 Oct,0.0,0.0,0.0,0.0,28.9,33.2,27.0,11.5,37.4
2 Oct,0.0,0.0,0.0,0.0,29.0,32.9,26.9,9.4,29.9
3 Oct,0.0,0.0,0.0,0.0,29.0,33.4,26.9,7.6,31.7
4 Oct,0.0,0.0,0.0,0.0,29.4,33.4,27.5,11.5,37.4
5 Oct,0.0,0.0,0.0,0.0,29.3,34.5,27.3,9.7,32.8
6 Oct,0.4,0.4,0.4,0.4,27.9,33.2,26.9,7.6,46.1
7 Oct,0.0,0.0,0.0,0.0,27.6,31.1,26.2,5.4,32.4
8 Oct,6.6,5.0,5.6,5.8,26.8,30.7,24.0,4.0,31.0
9 Oct,25.0,6.8,10.2,15.6,25.9,29.4,23.5,4.3,21.2
10 Oct,30.0,13.2,13.4,13.6,25.7,31.2,23.7,4.7,31.7
11 Oct,30.6,23.6,25.4,29.6,26.3,32.7,23.3,4.3,25.9
12 Oct,6.4,2.6,3.0,3.0,26.2,30.1,24.0,5.8,27.0
13 Oct,11.0,7.0,9.6,9.8,26.1,28.7,23.0,5.0,44.6
14 Oct,6.4,3.8,5.0,5.6,25.0,26.0,23.9,4.3,27.4
15 Oct,0.0,0.0,0.0,0.0,27.9,32.1,24.6,6.1,28.4
16 Oct,0.0,0.0,0.0,0.0,27.5,33.6,25.6,5.0,41.4
17 Oct,0.0,0.0,0.0,0.0,27.1,30.6,25.3,5.4,23.0
18 Oct,3.0,2.0,2.0,2.6,26.3,28.9,23.0,6.5,24.8
19 Oct,13.4,9.8,11.6,12.4,27.8,32.0,23.1,5.4,36.7
20 Oct,0.0,0.0,0.0,0.0,28.7,32.3,26.6,7.2,25.9
21 Oct,0.0,0.0,0.0,0.0,28.9,33.3,27.3,8.3,32.4
22 Oct,0.0,0.0,0.0,0.0,28.8,33.5,25.2,7.9,33.5
23 Oct,15.0,13.2,14.2,14.8,27.1,32.4,22.4,5.0,30.6
24 Oct,1.6,1.0,1.6,1.6,27.0,31.1,25.1,5.0,31.3
25 Oct,5.6,5.6,5.6,5.6,27.3,30.4,24.9,3.6,27.7
26 Oct,0.0,0.0,0.0,0.0,28.2,33.5,25.5,5.0,32.0
27 Oct,0.0,0.0,0.0,0.0,27.6,31.6,25.6,5.0,29.5
28 Oct,7.0,3.6,6.4,6.6,27.0,31.8,24.7,3.6,32.8
29 Oct,5.4,3.4,3.4,4.6,27.5,34.0,24.3,5.0,29.5
30 Oct,21.2,6.4,7.2,12.4,26.9,34.2,25.1,5.0,31.7
31 Oct,0.0,0.0,0.0,0.0,27.2,32.4,24.9,5.0,27.7
1 Sep,0.0,0.0,0.0,0.0,27.9,33.4,24.8,5.0,20.2
2 Sep,10.4,9.2,10.2,10.2,26.9,28.3,23.7,4.7,36.7
3 Sep,0.2,0.2,0.2,0.2,27.2,30.3,24.2,9.7,57.2
4 Sep,29.4,16.8,22.0,28.6,25.7,27.7,22.0,4.7,34.9
5 Sep,0.0,0.0,0.0,0.0,27.1,29.9,24.5,6.8,27.7
6 Sep,0.0,0.0,0.0,0.0,28.1,32.5,26.2,6.5,32.8
7 Sep,57.0,17.8,34.8,44.8,26.2,28.2,24.2,4.7,29.2
8 Sep,71.0,41.6,46.6,65.2,26.1,29.1,21.5,7.9,54.4
9 Sep,16.0,10.8,15.6,15.8,27.1,29.6,23.7,7.2,42.1
10 Sep,3.8,3.0,3.6,3.6,26.8,30.1,24.5,7.2,35.6
11 Sep,1.4,1.2,1.2,1.2,26.2,29.8,24.8,5.4,36.0
12 Sep,0.0,0.0,0.0,0.0,27.0,29.8,25.0,8.6,37.1
13 Sep,0.0,0.0,0.0,0.0,28.7,32.5,26.5,8.6,36.0
14 Sep,0.0,0.0,0.0,0.0,28.6,32.1,26.6,10.4,40.3
15 Sep,0.0,0.0,0.0,0.0,28.2,31.0,27.0,9.7,34.9
16 Sep,0.0,0.0,0.0,0.0,28.0,30.6,26.9,10.1,38.9
17 Sep,0.0,0.0,0.0,0.0,28.4,31.7,26.8,10.4,37.1
18 Sep,2.0,1.2,1.2,1.2,27.4,32.2,25.1,6.8,32.8
19 Sep,43.4,28.4,37.6,42.6,26.5,32.2,23.0,6.5,35.6
20 Sep,9.6,7.6,9.2,9.6,26.2,30.1,21.8,5.4,39.6
21 Sep,7.0,4.2,4.4,4.4,25.7,30.2,22.5,5.8,32.4
22 Sep,0.8,0.4,0.6,0.6,27.2,31.7,25.1,7.6,28.1
23 Sep,0.0,0.0,0.0,0.0,28.6,32.6,25.6,7.9,29.5
24 Sep,0.0,0.0,0.0,0.0,28.7,32.7,26.5,9.4,27.4
25 Sep,0.0,0.0,0.0,0.0,28.8,34.1,26.9,9.0,27.0
26 Sep,0.0,0.0,0.0,0.0,28.4,32.7,26.8,9.4,31.7
27 Sep,0.0,0.0,0.0,0.0,28.9,33.4,26.8,9.0,28.8
28 Sep,0.0,0.0,0.0,0.0,29.0,33.1,27.0,9.4,29.2
29 Sep,0.0,0.0,0.0,0.0,28.9,33.1,26.9,10.4,35.6
30 Sep,0.0,0.0,0.0,0.0,28.8,33.5,26.9,11.9,37.8
1 Aug,1.2,0.2,0.4,0.8,25.9,26.9,24.5,6.5,28.4
2 Aug,0.0,0.0,0.0,0.0,27.3,31.8,25.7,9.7,36.0
3 Aug,0.0,0.0,0.0,0.0,28.1,31.5,26.1,9.7,35.6
4 Aug,0.0,0.0,0.0,0.0,27.8,30.7,26.7,10.1,29.9
5 Aug,12.6,6.6,6.8,9.6,27.6,29.5,25.9,9.4,38.5
6 Aug,0.0,0.0,0.0,0.0,28.0,30.7,26.7,10.1,36.0
7 Aug,0.0,0.0,0.0,0.0,27.7,29.9,26.3,10.4,35.3
8 Aug,2.2,1.8,1.8,1.8,26.5,28.7,21.8,8.6,61.2
9 Aug,0.0,0.0,0.0,0.0,28.0,31.1,26.8,8.6,33.5
10 Aug,0.0,0.0,0.0,0.0,28.5,31.1,26.9,9.4,31.3
11 Aug,0.0,0.0,0.0,0.0,28.7,32.9,26.9,9.4,36.4
12 Aug,0.0,0.0,0.0,0.0,28.8,32.6,26.7,9.4,33.1
13 Aug,0.0,0.0,0.0,0.0,29.0,32.8,26.9,10.1,34.2
14 Aug,0.2,0.2,0.2,0.2,28.7,31.8,27.3,11.5,40.3
15 Aug,0.0,0.0,0.0,0.0,28.9,32.7,27.4,11.5,37.4
16 Aug,0.0,0.0,0.0,0.0,28.7,32.7,27.0,10.8,40.7
17 Aug,13.4,12.8,13.4,13.4,27.8,29.4,22.5,10.8,39.2
18 Aug,0.0,0.0,0.0,0.0,28.3,31.5,26.0,11.9,40.0
19 Aug,0.0,0.0,0.0,0.0,28.7,32.0,27.2,12.6,36.4
20 Aug,0.0,0.0,0.0,0.0,28.7,32.4,27.1,10.8,35.6
21 Aug,0.0,0.0,0.0,0.0,28.6,31.7,27.0,11.9,37.4
22 Aug,30.6,20.2,21.6,21.8,27.1,28.8,23.8,6.5,40.7
23 Aug,0.2,0.2,0.2,0.2,28.4,31.5,26.2,5.8,26.6
24 Aug,6.0,2.8,5.0,5.4,26.8,29.7,22.9,7.2,61.2
25 Aug,0.0,0.0,0.0,0.0,27.1,30.9,24.9,7.9,48.2
26 Aug,0.0,0.0,0.0,0.0,28.5,32.0,26.5,8.6,32.4
27 Aug,0.0,0.0,0.0,0.0,28.7,32.1,26.9,11.2,35.6
28 Aug,0.0,0.0,0.0,0.0,28.5,31.8,27.1,7.9,31.7
29 Aug,0.0,0.0,0.0,0.0,27.9,30.1,26.3,7.2,30.6
30 Aug,0.0,0.0,0.0,0.0,28.1,31.4,25.2,8.3,37.4
31 Aug,21.2,20.6,21.0,21.2,27.2,32.5,23.0,8.6,64.8
1 Jul,0.6,0.2,0.4,0.4,26.7,29.5,25.5,7.2,37.1
2 Jul,1.2,0.8,1.0,1.0,27.1,31.0,25.4,6.5,27.7
3 Jul,0.6,0.6,0.6,0.6,27.2,29.8,24.1,6.8,29.2
4 Jul,0.0,0.0,0.0,0.0,28.3,31.8,26.5,8.3,28.4
5 Jul,0.0,0.0,0.0,0.0,28.3,32.1,26.6,9.7,33.5
6 Jul,0.0,0.0,0.0,0.0,28.1,31.0,26.9,10.4,33.1
7 Jul,0.0,0.0,0.0,0.0,28.1,31.7,26.5,9.7,32.0
8 Jul,0.0,0.0,0.0,0.0,28.2,30.9,26.8,9.4,36.0
9 Jul,1.2,1.2,1.2,1.2,28.2,31.5,25.1,9.4,38.9
10 Jul,11.0,7.8,8.0,10.4,26.3,28.1,22.6,8.6,38.9
11 Jul,0.0,0.0,0.0,0.0,27.8,30.8,26.2,7.6,29.5
12 Jul,0.0,0.0,0.0,0.0,28.6,33.9,27.2,9.0,28.1
13 Jul,0.0,0.0,0.0,0.0,28.3,30.9,26.9,10.8,41.8
14 Jul,0.0,0.0,0.0,0.0,28.2,31.0,25.8,9.4,38.2
15 Jul,17.4,14.6,15.8,16.8,26.8,30.6,21.3,9.0,47.5
16 Jul,0.0,0.0,0.0,0.0,28.3,31.5,26.7,10.1,35.6
17 Jul,0.0,0.0,0.0,0.0,28.3,30.6,26.8,10.4,42.5
18 Jul,0.0,0.0,0.0,0.0,28.5,31.1,27.1,10.8,42.5
19 Jul,14.2,12.2,13.8,14.2,27.8,30.6,23.3,9.0,36.0
20 Jul,9.2,8.6,9.0,9.0,28.4,31.3,25.2,7.9,31.3
21 Jul,3.0,3.0,3.0,3.0,28.1,30.6,25.4,6.5,28.8
22 Jul,0.2,0.2,0.2,0.2,28.6,32.1,27.3,8.3,31.7
23 Jul,0.0,0.0,0.0,0.0,29.0,33.2,27.3,10.1,31.7
24 Jul,0.0,0.0,0.0,0.0,28.9,33.2,27.1,11.2,37.1
25 Jul,0.6,0.4,0.4,0.6,27.0,31.0,24.5,7.2,49.0
26 Jul,0.0,0.0,0.0,0.0,28.1,33.5,25.8,8.6,31.3
27 Jul,0.0,0.0,0.0,0.0,28.7,32.5,26.8,10.4,36.0
28 Jul,0.0,0.0,0.0,0.0,28.9,32.7,27.0,10.4,32.0
29 Jul,0.0,0.0,0.0,0.0,28.6,32.2,27.2,9.0,34.6
30 Jul,8.4,3.4,4.6,4.8,26.3,27.7,23.1,8.6,38.5
31 Jul,0.0,0.0,0.0,0.0,27.1,32.0,25.7,5.8,33.8
1 Jun,34.6,12.0,17.0,24.6,27.5,31.4,23.3,4.7,32.4
2 Jun,28.0,12.0,14.2,23.2,27.0,32.3,22.5,4.0,58.3
3 Jun,0.0,0.0,0.0,0.0,28.9,33.4,26.1,5.4,28.8
4 Jun,0.0,0.0,0.0,0.0,29.1,33.0,25.0,7.6,43.9
5 Jun,0.0,0.0,0.0,0.0,29.3,32.5,27.7,9.4,35.6
6 Jun,0.0,0.0,0.0,0.0,29.6,33.1,27.8,10.1,28.4
7 Jun,0.0,0.0,0.0,0.0,29.7,33.2,28.0,9.7,31.0
8 Jun,41.4,38.0,41.2,41.4,28.6,31.6,22.4,7.9,49.7
9 Jun,0.0,0.0,0.0,0.0,29.1,32.6,27.7,7.2,24.1
10 Jun,0.0,0.0,0.0,0.0,29.2,31.6,27.8,10.1,35.3
11 Jun,0.0,0.0,0.0,0.0,29.4,32.6,28.1,10.8,37.8
12 Jun,0.0,0.0,0.0,0.0,29.2,31.7,28.0,9.0,34.9
13 Jun,1.8,1.4,1.8,1.8,28.3,32.3,26.4,7.6,30.6
14 Jun,0.0,0.0,0.0,0.0,28.7,31.9,27.3,6.8,34.2
