Date,Daily Rainfall Total (mm),Highest 30-min Rainfall (mm),Highest 60-min Rainfall (mm),Highest 120-min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
29 Jul,88.4,40.2,73.2,86.6,27.3,30.2,22.9,8.4,37.8
30 Jul,19.6,17.8,18.4,19.4,27.4,29.9,24.3,7.6,52.2
31 Jul,0.2,0.2,0.2,0.2,27.3,28.6,25.2,9.5,47.5
1 Jun,6.0,2.6,2.8,2.8,28.1,30.8,25.9,6.4,35.3
2 Jun,0.0,0.0,0.0,0.0,28.7,31.5,27.5,6.5,42.1
3 Jun,0.0,0.0,0.0,0.0,29.0,31.4,27.6,8.6,34.6
4 Jun,7.4,5.8,5.8,6.4,27.8,28.8,25.9,6.8,29.5
5 Jun,5.0,1.4,1.6,2.8,26.9,28.4,24.9,7.4,43.2
6 Jun,17.2,12.2,12.4,15.6,27.2,29.8,25.1,7.5,40.0
7 Jun,0.0,0.0,0.0,0.0,28.8,31.2,27.2,8.3,32.0
8 Jun,0.0,0.0,0.0,0.0,29.5,32.7,27.7,8.4,31.7
9 Jun,0.0,0.0,0.0,0.0,29.4,33.5,27.8,7.9,28.1
10 Jun,1.0,0.4,0.8,1.0,29.6,33.4,27.7,7.9,41.0
11 Jun,0.0,0.0,0.0,0.0,29.7,32.9,28.0,7.9,31.3
12 Jun,13.4,10.0,12.8,13.2,28.8,32.7,23.0,9.5,70.6
13 Jun,0.0,0.0,0.0,0.0,29.5,32.2,28.0,7.7,27.7
14 Jun,6.6,5.4,6.2,6.2,27.4,29.7,23.3,6.1,42.1
15 Jun,23.2,19.4,23.2,23.2,28.9,31.1,25.5,8.0,38.5
16 Jun,0.0,0.0,0.0,0.0,29.6,32.3,28.1,9.4,35.6
17 Jun,0.0,0.0,0.0,0.0,29.8,32.7,28.1,9.7,33.8
18 Jun,8.0,5.0,5.8,7.0,28.4,31.7,23.4,8.8,38.9
19 Jun,3.0,3.0,3.0,3.0,28.7,32.5,24.4,7.9,40.0
20 Jun,0.0,0.0,0.0,0.0,29.7,32.9,28.3,9.6,31.0
21 Jun,0.0,0.0,0.0,0.0,30.2,33.6,28.4,8.4,34.9
22 Jun,11.2,10.2,11.2,11.2,29.4,32.5,27.0,7.6,29.5
23 Jun,0.0,0.0,0.0,0.0,29.6,32.4,28.0,6.3,32.8
